"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","sample_mean"
"W_pred[8,100,4]",4.43981301321135,0.0266183154988911,1.68760420341756,1.77746399233441,3.21051360365507,4.2568901730127,5.43384113384464,8.29053383129025,4019.57429467763,1.00001032663671,5.4437527870013
"W_pred[8,101,1]",0.198814437557272,0.00848723706246474,0.512007519111113,1.09873049350731e-14,0.00125856533889685,0.0220324839056317,0.156263853070384,1.51820136827197,3639.31805427528,0.99988334584031,0.00500813647718432
"W_pred[8,101,2]",0.083065866693139,0.00245003149970028,0.147012134244088,2.58061735670814e-05,0.00451530180305249,0.0247028631874258,0.0950767776509499,0.507370404169605,3600.50177080691,0.999539908332123,0.00446688023975668
"W_pred[8,101,3]",0.0580547705564984,0.00196651422888758,0.109195817877445,3.51914664390639e-14,0.00134308018685082,0.0148395870706239,0.0631315048352535,0.374251261316086,3083.31449624886,1.0002156317014,5.83596370275158e-05
"W_pred[8,101,4]",0.963099738618036,0.00626087552995008,0.39176695606979,0.359868094642096,0.682540373121197,0.907813846938604,1.17766278716377,1.88242038935808,3915.48410107527,1.00034936027905,0.730829184090299
"W_pred[8,102,1]",0.244728806471666,0.0103467012352571,0.619941019741377,1.55602869998305e-14,0.00156614993121727,0.0271522124618787,0.193609635000554,1.9567500037967,3590.0205035948,0.999924106768587,0.000117832000076196
"W_pred[8,102,2]",0.102320134216404,0.00294533419216031,0.179113674389903,3.35751191730484e-05,0.00566798235585579,0.0315643512472238,0.116294712891952,0.640446539160075,3698.18240676222,0.999649235365093,0.014396826952754
"W_pred[8,102,3]",0.0718956257965822,0.00240571560561702,0.134534871747446,5.94084011598154e-14,0.00166003930784472,0.0185692303637217,0.0797716159476711,0.458485011709008,3127.38369264383,1.00003290562255,0.304024427491252
"W_pred[8,102,4]",1.19183884956789,0.00760390389549415,0.472636434911532,0.463539139960589,0.853522220050493,1.12767433767717,1.46930159045633,2.21658154803698,3863.50213909211,1.00015599808168,2.03884485651525
"W_pred[8,103,1]",0.424866765261292,0.0178936554761228,1.09189998356952,2.27205433430378e-14,0.00284094095340338,0.0467480610854882,0.330472043537344,3.3266409620394,3723.63905338784,0.999789991212098,0.0389414857424391
